Feature,Accuracy,Timerange,Relative STD Scaler
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",89.18918919,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",61.26126126,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",56.75675676,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",72.07207207,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",84.68468468,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",86.48648649,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",59.45945946,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",58.55855856,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",70.27027027,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",87.38738739,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",65.76576577,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",48.64864865,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",72.07207207,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",90.09009009,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",54.95495495,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",60.36036036,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",72.97297297,"[-3, 0]",1