Feature,Accuracy,STD,Delta x
AREA,98.1981982,0.1,4.995131375
AREA,86.48648649,0.5,24.79480834
AREA,25.22522523,1,49.92947367
PERIMETER,99.0990991,0.1,0.539236366
PERIMETER,84.68468468,0.5,2.677959935
PERIMETER,64.86486486,1,5.394020382
INTENSITY,99.0990991,0.1,0.012790052
INTENSITY,99.0990991,0.5,0.064122173
INTENSITY,99.0990991,1,0.127751475
ELLIPSE_MINOR,99.0990991,0.1,0.081485355
ELLIPSE_MINOR,99.0990991,0.5,0.410375336
ELLIPSE_MINOR,99.0990991,1,0.81972026
AREA,99.0990991,0.1,4.975753553
AREA,74.77477477,0.5,24.99679301
AREA,31.53153153,1,49.71318174
PERIMETER,98.1981982,0.1,0.535696939
PERIMETER,87.38738739,0.5,2.678857689
PERIMETER,62.16216216,1,5.38079549
INTENSITY,99.0990991,0.1,0.012858659
INTENSITY,99.0990991,0.5,0.063645432
INTENSITY,99.0990991,1,0.1285649
ELLIPSE_MINOR,99.0990991,0.1,0.081899212
ELLIPSE_MINOR,99.0990991,0.5,0.407842666
ELLIPSE_MINOR,99.0990991,1,0.817306227
AREA,98.1981982,0.1,4.992491638
AREA,81.98198198,0.5,24.73569704
AREA,29.72972973,1,50.11275199
PERIMETER,98.1981982,0.1,0.535027581
PERIMETER,86.48648649,0.5,2.696209552
PERIMETER,58.55855856,1,5.359182979
INTENSITY,99.0990991,0.1,0.012851993
INTENSITY,99.0990991,0.5,0.06432016
INTENSITY,99.0990991,1,0.1274469
ELLIPSE_MINOR,99.0990991,0.1,0.081790464
ELLIPSE_MINOR,99.0990991,0.5,0.408050053
ELLIPSE_MINOR,99.0990991,1,0.818599573
AREA,99.0990991,0.1,4.955565923
AREA,98.1981982,0.1,4.982362418
AREA,80.18018018,0.5,24.65040153
AREA,25.22522523,1,50.07634855
PERIMETER,99.0990991,0.1,0.538589358
PERIMETER,90.09009009,0.5,2.682415591
PERIMETER,62.16216216,1,5.333689383
INTENSITY,99.0990991,0.1,0.012866133
INTENSITY,99.0990991,0.5,0.063840566
INTENSITY,99.0990991,1,0.128782246
ELLIPSE_MINOR,99.0990991,0.1,0.082255169
ELLIPSE_MINOR,99.0990991,0.5,0.410275443
ELLIPSE_MINOR,99.0990991,1,0.815060403
AREA,99.0990991,0.1,4.981502348
AREA,81.08108108,0.5,25.04292345
AREA,21.62162162,1,49.74359976
PERIMETER,99.0990991,0.1,0.539171255
PERIMETER,91.89189189,0.5,2.705878603
PERIMETER,66.66666667,1,5.384367596
INTENSITY,99.0990991,0.1,0.012750606
INTENSITY,99.0990991,0.5,0.063736449
INTENSITY,99.0990991,1,0.128167297
ELLIPSE_MINOR,99.0990991,0.1,0.081148181