Feature,Accuracy,Timerange,m_i
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",85.18518519,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",57.40740741,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",38.88888889,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",59.25925926,"[0, 10]",1
['PERIMETER'],94.44444444,"[0, 3]",1
['AREA'],90.74074074,"[0, 3]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 3]",1
['INTENSITY'],94.44444444,"[0, 3]",1
['PERIMETER'],81.48148148,"[-3, 0]",1
['AREA'],62.96296296,"[-3, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-3, 0]",1
['INTENSITY'],94.44444444,"[-3, 0]",1
['PERIMETER'],75.92592593,"[-10, 0]",1
['AREA'],44.44444444,"[-10, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-10, 0]",1
['INTENSITY'],94.44444444,"[-10, 0]",1
['PERIMETER'],92.59259259,"[0, 10]",1
['AREA'],79.62962963,"[0, 10]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 10]",1
['INTENSITY'],94.44444444,"[0, 10]",1
['PERIMETER'],94.44444444,"[0, 3]",1
['AREA'],87.03703704,"[0, 3]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 3]",1
['INTENSITY'],94.44444444,"[0, 3]",1
['PERIMETER'],79.62962963,"[-3, 0]",1
['AREA'],74.07407407,"[-3, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-3, 0]",1
['INTENSITY'],94.44444444,"[-3, 0]",1
['PERIMETER'],85.18518519,"[-10, 0]",1
['AREA'],59.25925926,"[-10, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-10, 0]",1
['INTENSITY'],94.44444444,"[-10, 0]",1
['PERIMETER'],90.74074074,"[0, 10]",1
['AREA'],74.07407407,"[0, 10]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 10]",1
['INTENSITY'],94.44444444,"[0, 10]",1
['PERIMETER'],92.59259259,"[0, 3]",1
['AREA'],83.33333333,"[0, 3]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 3]",1
['INTENSITY'],94.44444444,"[0, 3]",1
['PERIMETER'],74.07407407,"[-3, 0]",1
['AREA'],59.25925926,"[-3, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-3, 0]",1
['INTENSITY'],94.44444444,"[-3, 0]",1
['PERIMETER'],75.92592593,"[-10, 0]",1
['AREA'],53.7037037,"[-10, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-10, 0]",1
['INTENSITY'],94.44444444,"[-10, 0]",1
['PERIMETER'],94.44444444,"[0, 10]",1
['AREA'],66.66666667,"[0, 10]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 10]",1
['INTENSITY'],94.44444444,"[0, 10]",1
['PERIMETER'],94.44444444,"[0, 3]",1
['AREA'],90.74074074,"[0, 3]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 3]",1
['INTENSITY'],94.44444444,"[0, 3]",1